KOI_name,KS,fake_KSs,p,fake_Ps,num_trials,fakeAvg,fakeMed,fakeStd,fakeMad
K00001.01,0.528829690416326,0.6018217054263573;0.6018217054263573;0.6272621809744791;0.5918209876543217;0.5973909657320884;0.600115740740742;0.5996906419180212;0.606332556332557;0.5967289719626173;0.6074459876543218;0.6088372093023267;0.6053488372093031;0.6050000000000006;0.6153549382716057;0.613271604938272;0.5910672853828313;0.6172897196261695;0.6111882716049396;0.6110465116279084;0.5997280497280506;0.6094573643410865,1.269738676014914e-127,0.43212520336023896;0.43212520336023896;0.3961577985548188;0.4437870778989603;0.43437929377827295;0.4315573323231241;0.4399389953082234;0.4112433307025294;0.4300052307019417;0.4136943951063494;0.4271455428103942;0.4169840169184434;0.42186881842281343;0.40812914531298133;0.4097683973325213;0.4452079621342342;0.4065206719332914;0.41267255974143413;0.4180760436091396;0.42965059070222705;0.4128541600867005,20,0.6056200588502074,0.6053488372093031,0.00852362475119051,0.006789119635389661
K00002.01,0.5984797900452143,0.49946678616891366;0.49946678616891366;0.5183515482695806;0.5032825917252151;0.5052577725305005;0.5051567656765679;0.5047403310582884;0.504011911277921;0.5030217278168096;0.5053258145363401;0.5144851076070182;0.49025878778354054;0.5060970365157557;0.49905997918293027;0.5006407754358569;0.5070465781941187;0.516783495196324;0.5013344801522138;0.48481603514552485;0.5005275751157128;0.5001944966583124,0.0,0.349529661155396;0.349529661155396;0.3224448948729709;0.33870277810281024;0.34125369383958565;0.3377603234000072;0.34209773326964527;0.3389730660781616;0.3420382159597236;0.3363131930130406;0.3245147109903731;0.36982694156480656;0.3273873771307245;0.35197318360720137;0.3559379735663136;0.3437111009774944;0.32074279861529503;0.3390992905706664;0.37671763280671655;0.3405359465084687;0.34111908806051267,20,0.5033012562960171,0.5032825917252151,0.00742173235765552,0.0051660759906899285
K00010.01,0.5887074829931973,0.44843342036553496;0.44843342036553496;0.4551732734978805;0.4476938419346788;0.45685689419370845;0.45683039620047483;0.4465033657442026;0.444078783345799;0.45259231629988805;0.45749098595051574;0.45129588293650746;0.45479315085614236;0.4625250626566414;0.45335583052118433;0.4443717277486909;0.44210069444444416;0.45609847071987997;0.45873015873015854;0.455580357142857;0.4688357018199951;0.4557379087405192,0.0,0.4756584826947642;0.4756584826947642;0.4637663116342119;0.47508752480509997;0.47025875829891817;0.4526577042077071;0.47825326802285245;0.4859242668949006;0.4622497096435981;0.45877729306410636;0.46644916546817833;0.4587321808284382;0.44470346661369614;0.4729814122199537;0.473505864884698;0.48596399175273847;0.45709595789851243;0.4523481608630795;0.45625359892140377;0.42752968223171117;0.45327792128434063,20,0.4532148402007256,0.4547931508561424,0.006335340789999963,0.0050885817734523785
K00112.02,0.13653987182794436,0.6018746579091411;0.6018746579091411;0.6196258503401365;0.6161036494369827;0.604056437389771;0.591880341880342;0.5987215909090913;0.6199319727891166;0.5957854406130269;0.5944919278252615;0.6146814026470192;0.5949878246753252;0.6018179351512687;0.609836734693877;0.6095509428842764;0.6147755102040816;0.5991045991045997;0.5942640692640696;0.5806953463203459;0.6142176870748304;0.5999727111474963,5.370228307692928e-14,0.39656640486885114;0.39656640486885114;0.35645525542600914;0.36763502764251677;0.3831177745277828;0.3978457126700935;0.39138600443811655;0.3622098806549773;0.3976774640827172;0.3906389081439125;0.37679825489869645;0.39929035507909044;0.3947020433474367;0.3781312235358798;0.36935172759385837;0.36743433899880584;0.3787854687653769;0.4102262187755089;0.4244773704596492;0.37207137300571413;0.39373436146661894,20,0.6037262519128189,0.6018746579091411,0.010113952093141363,0.00849942097568757
K00742.01,0.60917369591674,0.5227637235449735;0.5227637235449735;0.5101273148148147;0.49826388888888906;0.5352099867724868;0.5098538011695907;0.49835069444444446;0.5321469907407407;0.5363993316624895;0.5150584795321639;0.4812210648148146;0.5473976608187135;0.5149415204678364;0.5528067129629629;0.539122807017544;0.5397610780423278;0.5107017543859649;0.5222800925925927;0.5114004629629627;0.5113508597883596;0.5077718676122932,4.231216468257168e-91,0.37056847685547384;0.37056847685547384;0.37705961419460315;0.40506895689348626;0.3551727080649088;0.40893938685461917;0.39434697642757705;0.35938309337542457;0.35960507310095813;0.37038776528304224;0.4401455663135359;0.34312737092498075;0.37193704796459937;0.32780525411421185;0.3633959885491996;0.3609491265657285;0.37832028906641185;0.35478000435113044;0.3865085104816501;0.3802211319688063;0.39673113984415764,20,0.5199854198372351,0.5150584795321639,0.017363781644746886,0.014361705650233612
K00743.01,0.145467361388552,0.3339776271947494;0.3339776271947494;0.30659104826587985;0.3357083078179221;0.30104817309655035;0.29920647313349163;0.31838841440502424;0.29943709304767896;0.31840971841729254;0.2979937888198757;0.3139286492130789;0.3212558416862731;0.2978860371924384;0.3457808610826512;0.31605420666290224;0.3330329329056039;0.3012648624667258;0.31311524972272053;0.31888314213692115;0.3125642285430279;0.3267620479133031,8.540484999908447e-16,0.2763894633595874;0.2763894633595874;0.374751752138406;0.25698672147680574;0.37461843670853745;0.35960603140233055;0.32356075721717775;0.363280249454698;0.3184238250408935;0.3502144799453259;0.37390578959832704;0.31538915792062894;0.3508865587319071;0.2796114577723691;0.34585680796340557;0.3069510760016693;0.3631593313704962;0.3059057448691618;0.40091712044644967;0.3727119336780015;0.3351359701567504,20,0.31644125385327904,0.31605420666290224,0.014029441501540414,0.011596569735399943
K00744.01,0.6077403749244104,0.4410376492194673;0.4410376492194673;0.4000137741046832;0.43945473251028805;0.4201734324375833;0.434435261707989;0.4336119127785793;0.41310179719270623;0.4470523415977961;0.41306937297503343;0.4590128558310377;0.41779155188246075;0.43466023875114773;0.4398943985307621;0.43207070707070694;0.43709169618260535;0.42843893480257117;0.4215656565656566;0.444271417882529;0.42873278236914625;0.4381212922879588,4.0839690277918203e-66,0.3768707515747624;0.3768707515747624;0.43407044784722115;0.39297093808375355;0.3869758767943804;0.3498485378653784;0.3768912607659605;0.42574558136216906;0.35391164703804295;0.37735258210582506;0.3242665825543488;0.4008274283263813;0.3849842485293243;0.3593205858018887;0.37650675427008434;0.3565377506397213;0.3680549563115287;0.4277660791019314;0.3694110501403274;0.36612741388755987;0.3822447226466853,20,0.4316494979000083,0.43443526170798896,0.01323261239194778,0.010505588654307256
K00745.01,0.6577812170045005,0.3472387062698067;0.3472387062698067;0.39087619896443415;0.37155842074396805;0.3824909567556624;0.35874557425309295;0.35171568627450955;0.3466212476893589;0.352313079077785;0.3277677224736047;0.36910506390056;0.3519263383433516;0.3417779352570373;0.38599811136575835;0.35241741832299084;0.4004620787709021;0.35059225976408626;0.32901795486934776;0.34447574484339183;0.33681987946693814;0.357803348612172,7.630403557288384e-190,0.35983852325661286;0.35983852325661286;0.2845110232210344;0.26243507756858603;0.3309650649935072;0.3211355842158616;0.3239319207921614;0.34413858968524524;0.29711712270181123;0.35693520936525525;0.2973115980200075;0.29688432161358375;0.3188737134871613;0.2720349609965105;0.3131061130084397;0.2649574447952721;0.3834531529452069;0.38867268337917077;0.3732630189350099;0.3640014541594057;0.35752814338273975,20,0.3569982110613602,0.3519263383433516,0.0192213968474794,0.015338482369111232
K00746.01,0.24815882035720904,0.454861111111111;0.454861111111111;0.4353835978835978;0.4642857142857143;0.4585978835978834;0.47506613756613764;0.4401455026455027;0.4769563769563771;0.47957746478873264;0.46003637566137584;0.47569097569097574;0.44688644688644696;0.4702380952380951;0.46736596736596725;0.46220446220446243;0.47619047619047633;0.48498677248677247;0.437895437895438;0.4741924741924741;0.4489417989417988;0.44303902116402116,1.581108964247348e-23,0.46947840243446975;0.46947840243446975;0.49606947847468075;0.4301342433049839;0.44367808857761515;0.43181626634042825;0.48192607296295303;0.43857868888102786;0.41744407653039883;0.44768367197577674;0.40169303490933783;0.47173024584877155;0.4253944018432316;0.4243507155295484;0.4508886376119991;0.42626291935268457;0.3719168584760416;0.49308203981803655;0.4131337829208995;0.48409919566582815;0.48870339322567496,20,0.4613049144697368,0.4622044622044624,0.014644874653678974,0.012609605504674371
K00747.01,0.328477352669983,0.7847417840375586;0.7847417840375586;0.7748837209302321;0.7607476635514011;0.7953271028037384;0.7619718309859153;0.7724056603773584;0.7716279069767437;0.7783018867924528;0.7413953488372089;0.7757009345794387;0.7697674418604644;0.758878504672897;0.7671361502347412;0.7839534883720928;0.7886792452830186;0.7726635514018688;0.7720930232558136;0.7720930232558135;0.7760563380281686;0.7717289719626164,3.4301688613622976e-27,0.4224142808120937;0.4224142808120937;0.4341391080901798;0.4569206963458176;0.4051242103236952;0.4535485338397554;0.43409421111477864;0.4384154141578143;0.4320669020469121;0.4885880427818315;0.4389332096661713;0.4413319580842089;0.4598392578597053;0.4502558109216022;0.4214157832378621;0.413294505273752;0.43675214280951596;0.4416498575052452;0.43894826421600724;0.43793693379202253;0.44605507294443125,20,0.7730902553446238,0.7724056603773584,0.011357050610735749,0.008054665405966109
